network,inputfile,objective,delta,optimizer,status,optval,time
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabousbt_EarliestReLU,success,-0.07737474652980315,0.539824358
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.07744924679292382,2.345687927
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_ReLUViolation,success,-0.07744924679292355,2.099324523
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.07744924679292373,2.504342625
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_EarliestReLU,success,-0.07744924679292385,2.109775211
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_8threads_1000.0m,success,-0.07737474652980306,0.068473274
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_1threads_1000.0m,success,-0.07737474652980306,0.064958351
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGLPK_1000.0m,timeout,-1.0,3600.296409541
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_8threads_1000.0m,success,-0.07737474652980317,0.191806779
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_1threads_1000.0m,success,-0.07737474652980317,0.164115462
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_GLPK_1000.0m,success,-0.0773747465298033,611.89557326
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,LBFGS,success,-0.06790153479133795,23.685001324
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,PGD,success,-0.07181188187043046,0.014378615
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,FGSM,success,-0.06907297719554148,0.001975708
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabounosbt_ReLUViolation,success,-0.05975280675777874,1.681701591
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabousbt_ReLUViolation,success,-0.05975280675777874,1.041342014
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabounosbt_EarliestReLU,success,-0.05975280675777874,1.885166407
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabousbt_EarliestReLU,success,-0.05975280675777874,1.319977502
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.059799334540088754,8.238509001
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_sbt_ReLUViolation,success,-0.05979933454008884,4.049085675
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.059799334540088636,7.778923357
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_sbt_EarliestReLU,success,-0.05979933454008876,4.350706649
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGurobi_8threads_1000.0m,success,-0.05975280675777897,0.079990558
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGurobi_1threads_1000.0m,success,-0.05975280675777897,0.083780484
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,VanillaMIPGLPK_1000.0m,timeout,-1.0,3600.202615821
